pathway,overlap,gene_set_size,pathway_size,p_value
NEGATIVE REGULATION OF FIBROBLAST GROWTH FACTOR PRODUCTION,1,191,1,0.04896180466547039
AUTOPHAGOSOME MATURATION,1,191,1,0.04896180466547039
NUCLEAR MEMBRANE ORGANIZATION,1,191,1,0.04896180466547039
LATE ENDOSOME TO VACUOLE TRANSPORT VIA MULTIVESICULAR BODY SORTING PATHWAY,1,191,1,0.04896180466547039
POST EMBRYONIC APPENDAGE MORPHOGENESIS,1,191,1,0.04896180466547039
MITOCHONDRIAL PROTEIN CATABOLIC PROCESS,1,191,1,0.04896180466547039
ESTABLISHMENT OF PROTEIN LOCALIZATION TO PEROXISOME,1,191,1,0.04896180466547039
UBIQUITIN INDEPENDENT PROTEIN CATABOLIC PROCESS VIA THE MULTIVESICULAR BODY SORTING PATHWAY,1,191,1,0.04896180466547039
CELLULAR RESPONSE TO OXYGEN GLUCOSE DEPRIVATION,1,191,1,0.04896180466547039
CYTOKINETIC PROCESS,1,191,1,0.04896180466547039
CARDIOLIPIN METABOLIC PROCESS,1,191,1,0.04896180466547039
PYRIMIDINE NUCLEOBASE BIOSYNTHETIC PROCESS,1,191,1,0.04896180466547039
OXALATE TRANSPORT,1,191,1,0.04896180466547039
NEGATIVE REGULATION OF CELLULAR RESPIRATION,1,191,1,0.04896180466547039
RESPONSE TO GLYCOPROTEIN,1,191,1,0.04896180466547039
NEGATIVE REGULATION OF INTESTINAL ABSORPTION,1,191,1,0.04896180466547039
ATP TRANSPORT,1,191,1,0.04896180466547039
MITOTIC CYTOKINETIC PROCESS,1,191,1,0.04896180466547039
NEGATIVE REGULATION OF MACROPHAGE CHEMOTAXIS,1,191,1,0.04896180466547039
BRUSH BORDER ASSEMBLY,1,191,1,0.04896180466547039
NON LYTIC VIRAL RELEASE,1,191,1,0.04896180466547039
VIRAL BUDDING,1,191,1,0.04896180466547039
NEGATIVE REGULATION OF PROTEIN EXPORT FROM NUCLEUS,1,191,1,0.04896180466547039
REGULATION OF DENSE CORE GRANULE EXOCYTOSIS,1,191,1,0.04896180466547039
POSITIVE REGULATION OF PLASMINOGEN ACTIVATION,1,191,1,0.04896180466547039
MONOACYLGLYCEROL BIOSYNTHETIC PROCESS,1,191,1,0.04896180466547039
PLATELET ACTIVATING FACTOR BIOSYNTHETIC PROCESS,1,191,1,0.04896180466547039
POSITIVE REGULATION OF EXTRACELLULAR MATRIX CONSTITUENT SECRETION,1,191,1,0.04896180466547039
HOMOCYSTEINE METABOLIC PROCESS,1,191,1,0.04896180466547039
VITAMIN A METABOLIC PROCESS,1,191,1,0.04896180466547039
NUCLEOBASE BIOSYNTHETIC PROCESS,1,191,1,0.04896180466547039
DE NOVO PYRIMIDINE NUCLEOBASE BIOSYNTHETIC PROCESS,1,191,1,0.04896180466547039
NEGATIVE REGULATION OF MEIOTIC NUCLEAR DIVISION,1,191,1,0.04896180466547039
NEGATIVE REGULATION OF GLYCOGEN BIOSYNTHETIC PROCESS,1,191,1,0.04896180466547039
REGULATION OF EXTRACELLULAR MATRIX CONSTITUENT SECRETION,1,191,1,0.04896180466547039
TOOTH ERUPTION,1,191,1,0.04896180466547039
PEROXISOME ORGANIZATION,1,191,1,0.04896180466547039
PEROXISOMAL TRANSPORT,1,191,1,0.04896180466547039
INTRACELLULAR PROTEIN TRANSMEMBRANE TRANSPORT,1,191,1,0.04896180466547039
UBIQUITIN DEPENDENT PROTEIN CATABOLIC PROCESS VIA THE MULTIVESICULAR BODY SORTING PATHWAY,1,191,1,0.04896180466547039
THIAMINE CONTAINING COMPOUND METABOLIC PROCESS,1,191,1,0.04896180466547039
OOCYTE CONSTRUCTION,1,191,1,0.04896180466547039
MIDBODY ABSCISSION,1,191,1,0.04896180466547039
ENDOPLASMIC RETICULUM PLASMA MEMBRANE TETHERING,1,191,1,0.04896180466547039
PROTEIN POLY ADP RIBOSYLATION,1,191,1,0.04896180466547039
VIRAL BUDDING VIA HOST ESCRT COMPLEX,1,191,1,0.04896180466547039
MULTIVESICULAR BODY ORGANIZATION,1,191,1,0.04896180466547039
OXIDATIVE DEMETHYLATION,1,191,1,0.04896180466547039
DEMETHYLATION,1,191,1,0.04896180466547039
VITAMIN D3 METABOLIC PROCESS,1,191,1,0.04896180466547039
FOLATE TRANSMEMBRANE TRANSPORT,1,191,1,0.04896180466547039
PROTEIN TRANSMEMBRANE IMPORT INTO INTRACELLULAR ORGANELLE,1,191,1,0.04896180466547039
NEGATIVE REGULATION BY HOST OF VIRAL PROCESS,1,191,1,0.04896180466547039
ENDOPLASMIC RETICULUM LOCALIZATION,1,191,1,0.04896180466547039
COENZYME A METABOLIC PROCESS,1,191,1,0.04896180466547039
PARALLEL ACTIN FILAMENT BUNDLE ASSEMBLY,1,191,1,0.04896180466547039
REGULATION OF ISOPRENOID METABOLIC PROCESS,1,191,1,0.04896180466547039
COENZYME A CATABOLIC PROCESS,1,191,1,0.04896180466547039
MAGNESIUM ION TRANSPORT,1,191,1,0.04896180466547039
ATP EXPORT,1,191,1,0.04896180466547039
NUCLEOSIDE TRIPHOSPHATE CATABOLIC PROCESS,1,191,1,0.04896180466547039
VIRAL RELEASE FROM HOST CELL,1,191,1,0.04896180466547039
PROTEIN IMPORT INTO PEROXISOME MATRIX,1,191,1,0.04896180466547039
REGULATION OF NODAL SIGNALING PATHWAY,1,191,1,0.04896180466547039
ABSCISSION,1,191,1,0.04896180466547039
LATE ENDOSOME TO LYSOSOME TRANSPORT,1,191,1,0.04896180466547039
DISACCHARIDE METABOLIC PROCESS,1,191,1,0.04896180466547039
MITOTIC METAPHASE CHROMOSOME ALIGNMENT,1,191,1,0.04896180466547039
LATE ENDOSOME TO VACUOLE TRANSPORT,1,191,1,0.04896180466547039
MULTIVESICULAR BODY LYSOSOME FUSION,1,191,1,0.04896180466547039
ORGANOPHOSPHATE CATABOLIC PROCESS,6,191,55,0.050279299392834584
REGULATION OF IMMUNE RESPONSE,18,191,244,0.050417531511551185
XENOBIOTIC METABOLIC PROCESS,4,191,29,0.05072695150667935
SODIUM ION TRANSPORT,7,191,70,0.053471132509896616
NUCLEUS ORGANIZATION,3,191,18,0.0548074109571663
TOOTH MINERALIZATION,3,191,18,0.0548074109571663
REGULATION OF TOLL LIKE RECEPTOR 4 SIGNALING PATHWAY,2,191,8,0.05495173467334114
POSITIVE REGULATION OF EXTRACELLULAR MATRIX ORGANIZATION,2,191,8,0.05495173467334114
GLYCOSYL COMPOUND METABOLIC PROCESS,2,191,8,0.05495173467334114
VITAMIN D METABOLIC PROCESS,2,191,8,0.05495173467334114
LOCOMOTORY EXPLORATION BEHAVIOR,2,191,8,0.05495173467334114
NEGATIVE REGULATION OF MONONUCLEAR CELL MIGRATION,2,191,8,0.05495173467334114
EXIT FROM MITOSIS,2,191,8,0.05495173467334114
DETECTION OF LIGHT STIMULUS INVOLVED IN SENSORY PERCEPTION,2,191,8,0.05495173467334114
HEART FIELD SPECIFICATION,2,191,8,0.05495173467334114
REGULATION OF CAMP MEDIATED SIGNALING,2,191,8,0.05495173467334114
MULTICELLULAR ORGANISMAL LEVEL CHEMICAL HOMEOSTASIS,4,191,30,0.056376800413074135
DIGESTION,5,191,43,0.05687567574072171
RESPONSE TO WOUNDING,14,191,181,0.05774562741487125
NUCLEOTIDE CATABOLIC PROCESS,5,191,44,0.061729753137527196
NUCLEOSIDE PHOSPHATE CATABOLIC PROCESS,5,191,44,0.061729753137527196
INORGANIC ANION TRANSPORT,6,191,58,0.062318497447522915
TERPENOID METABOLIC PROCESS,3,191,19,0.06281644728205307
NEGATIVE REGULATION OF AXONOGENESIS,3,191,19,0.06281644728205307
L AMINO ACID TRANSPORT,3,191,19,0.06281644728205307
PROTON TRANSMEMBRANE TRANSPORT,3,191,19,0.06281644728205307
AXON REGENERATION,3,191,19,0.06281644728205307
ORGANIC ACID METABOLIC PROCESS,13,191,168,0.0658686456102005
